"r_m","M_obs","envelope_lower","envelope_upper"
0,0,0,18.3323785098623
50,4.12732235324636,0,18.3323785098623
100,3.6850804493647,0,14.8476123812288
150,3.14665516051276,0,12.6357887915618
200,10.6098147345375,0,10.2501338372836
250,11.7064947809617,0,8.94032625983002
300,11.6477183055052,0,7.88878920929636
350,9.07376778823413,0,7.23096298394079
400,12.9990832680954,0,7.36385398131275
450,11.7746596010232,0,6.81945909756031
500,20.6701016419786,0.010320117896431,6.38240821586784
550,18.0997351109673,0.0227574015326192,5.95827894775979
600,17.6355220027703,0.0341578880735009,5.6786224711726
650,19.6918780436722,0.0470891772907634,5.35302527243126
700,25.5026116229049,0.0647799256170689,5.24023195933257
750,25.2668134051685,0.074801055192916,4.75011706212297
800,28.2869972502497,0.0820085846000072,4.61072417528276
850,26.5692172756678,0.0893262523632397,4.66820192477519
900,25.2014557485505,0.0987255874724358,4.48055640300831
950,24.2567000603867,0.104159484955138,4.22256739363528
1000,23.0486986748698,0.132641252068036,4.04066218270766
1050,23.0343046497707,0.160063118619464,3.97546919295257
1100,22.3425661829097,0.172102960178374,3.67281330618168
1150,24.2769097739147,0.170472735106486,3.55324195903779
1200,23.6341247453752,0.174757084955393,3.49357136554496
1250,25.3268536995425,0.179979126175769,3.56074722486978
1300,24.5784105435242,0.194990235579285,3.57873241209835
1350,25.42732200753,0.190970872493692,3.53089168717062
1400,24.8380573397008,0.203392396329935,3.46924613578919
1450,24.3893540676575,0.207117980130307,3.40091290035733
1500,24.2083867389808,0.218825688693736,3.3003821868547
