"node_id","n_tract","community","is_isolated","majority_density_q","Q1_low_share","Q2_share","Q3_share","Q4_high_share"
1,593,1,FALSE,"Q1_low",0.257191201353638,0.284263959390863,0.260575296108291,0.197969543147208
2,141,2,FALSE,"Q1_low",0.597122302158273,0.244604316546763,0.115107913669065,0.0431654676258993
3,234,1,FALSE,"Q1_low",0.314655172413793,0.301724137931034,0.245689655172414,0.137931034482759
4,210,2,FALSE,"Q1_low",0.4375,0.302884615384615,0.197115384615385,0.0625
5,272,3,FALSE,"Q1_low",0.262962962962963,0.296296296296296,0.307407407407407,0.133333333333333
6,117,3,FALSE,"Q2",0.243478260869565,0.295652173913043,0.278260869565217,0.182608695652174
7,158,4,FALSE,"Q1_low",0.429487179487179,0.275641025641026,0.205128205128205,0.0897435897435897
8,325,4,FALSE,"Q1_low",0.241486068111455,0.284829721362229,0.312693498452012,0.160990712074303
9,273,4,FALSE,"Q1_low",0.431734317343173,0.291512915129151,0.214022140221402,0.0627306273062731
10,283,1,FALSE,"Q1_low",0.288256227758007,0.302491103202847,0.270462633451957,0.138790035587189
11,179,2,FALSE,"Q1_low",0.485875706214689,0.214689265536723,0.203389830508475,0.096045197740113
12,287,1,FALSE,"Q1_low",0.168421052631579,0.27719298245614,0.312280701754386,0.242105263157895
13,19,1,FALSE,"Q1_low",0.647058823529412,0.0588235294117647,0.235294117647059,0.0588235294117647
14,39,4,FALSE,"Q4_high",0.0540540540540541,0.351351351351351,0.297297297297297,0.297297297297297
15,33,2,FALSE,"Q1_low",0.32258064516129,0.354838709677419,0.225806451612903,0.0967741935483871
16,416,2,FALSE,"Q2",0.311594202898551,0.289855072463768,0.260869565217391,0.13768115942029
17,36,2,FALSE,"Q2",0.617647058823529,0.264705882352941,0.0588235294117647,0.0588235294117647
18,82,1,FALSE,"Q1_low",0.4125,0.275,0.15,0.1625
19,272,2,FALSE,"Q1_low",0.422222222222222,0.248148148148148,0.248148148148148,0.0814814814814815
20,34,2,FALSE,"Q1_low",0.6875,0.09375,0.1875,0.03125
21,9,2,FALSE,"Q1_low",0.571428571428571,0.285714285714286,0.142857142857143,0
22,146,2,FALSE,"Q1_low",0.451388888888889,0.284722222222222,0.215277777777778,0.0486111111111111
23,104,2,FALSE,"Q1_low",0.754901960784314,0.156862745098039,0.0686274509803922,0.0196078431372549
24,91,1,FALSE,"Q1_low",0.280898876404494,0.258426966292135,0.303370786516854,0.157303370786517
25,11,2,FALSE,"Q2",0.222222222222222,0.111111111111111,0.555555555555556,0.111111111111111
26,323,3,FALSE,"Q1_low",0.330218068535826,0.327102803738318,0.230529595015576,0.11214953271028
27,216,4,FALSE,"Q1_low",0.186915887850467,0.322429906542056,0.322429906542056,0.168224299065421
28,72,2,FALSE,"Q1_low",0.328571428571429,0.242857142857143,0.271428571428571,0.157142857142857
29,157,2,FALSE,"Q2",0.161290322580645,0.290322580645161,0.303225806451613,0.245161290322581
30,15,2,FALSE,"Q4_high",0.153846153846154,0.307692307692308,0.384615384615385,0.153846153846154
31,10,1,FALSE,"Q3",0.125,0.25,0.125,0.5
32,45,4,FALSE,"Q3",0.27906976744186,0.255813953488372,0.348837209302326,0.116279069767442
33,18,4,FALSE,"Q3",0.125,0.25,0.25,0.375
34,252,4,FALSE,"Q1_low",0.228,0.292,0.332,0.148
35,88,4,FALSE,"Q2",0.127906976744186,0.22093023255814,0.36046511627907,0.290697674418605
36,92,2,FALSE,"Q1_low",0.311111111111111,0.244444444444444,0.266666666666667,0.177777777777778
37,16,2,FALSE,"Q1_low",0.428571428571429,0.142857142857143,0.285714285714286,0.142857142857143
38,14,2,FALSE,"Q4_high",0.666666666666667,0,0.0833333333333333,0.25
39,3,5,TRUE,NA,0,0,0,1
40,50,1,FALSE,"Q1_low",0.395833333333333,0.270833333333333,0.1875,0.145833333333333
41,87,4,FALSE,"Q1_low",0.247058823529412,0.376470588235294,0.270588235294118,0.105882352941176
42,106,3,FALSE,"Q1_low",0.259615384615385,0.269230769230769,0.298076923076923,0.173076923076923
43,5,1,FALSE,"Q2",0,0.666666666666667,0.333333333333333,0
44,95,4,FALSE,"Q1_low",0.0967741935483871,0.279569892473118,0.365591397849462,0.258064516129032
45,11,1,FALSE,"Q3",0,0.222222222222222,0.333333333333333,0.444444444444444
46,91,2,FALSE,"Q1_low",0.247191011235955,0.314606741573034,0.292134831460674,0.146067415730337
47,40,4,FALSE,"Q1_low",0.447368421052632,0.236842105263158,0.263157894736842,0.0526315789473684
48,39,3,FALSE,"Q2",0.108108108108108,0.189189189189189,0.324324324324324,0.378378378378378
49,23,3,FALSE,"Q4_high",0,0.0476190476190476,0.238095238095238,0.714285714285714
50,63,2,FALSE,"Q1_low",0.409836065573771,0.213114754098361,0.295081967213115,0.0819672131147541
51,8,4,FALSE,"Q2",0.666666666666667,0.333333333333333,0,0
52,15,3,FALSE,"Q3",0.153846153846154,0.307692307692308,0.153846153846154,0.384615384615385
53,58,1,FALSE,"Q3",0.0714285714285714,0.178571428571429,0.410714285714286,0.339285714285714
54,14,4,FALSE,"Q2",0,0.25,0.333333333333333,0.416666666666667
55,6,2,FALSE,"Q1_low",0.25,0.25,0.25,0.25
56,5,4,FALSE,"Q4_high",0,0.333333333333333,0.333333333333333,0.333333333333333
57,93,1,FALSE,"Q4_high",0,0.175824175824176,0.274725274725275,0.549450549450549
58,9,4,FALSE,"Q4_high",0.142857142857143,0.142857142857143,0.285714285714286,0.428571428571429
59,14,4,FALSE,"Q3",0,0.583333333333333,0.0833333333333333,0.333333333333333
60,66,4,FALSE,"Q3",0.09375,0.328125,0.359375,0.21875
61,17,1,FALSE,"Q3",0.0666666666666667,0,0.666666666666667,0.266666666666667
62,120,4,FALSE,"Q2",0.161016949152542,0.288135593220339,0.364406779661017,0.186440677966102
63,25,2,FALSE,"Q3",0.347826086956522,0.173913043478261,0.391304347826087,0.0869565217391304
64,5,3,FALSE,"Q2",0,0.666666666666667,0.333333333333333,0
65,121,1,FALSE,"Q3",0.159663865546218,0.302521008403361,0.285714285714286,0.252100840336134
66,10,2,FALSE,"Q1_low",0.125,0,0.875,0
67,3,6,TRUE,NA,0,0,1,0
68,280,1,FALSE,"Q1_low",0.179856115107914,0.273381294964029,0.29136690647482,0.255395683453237
69,66,4,FALSE,"Q1_low",0.34375,0.296875,0.3125,0.046875
70,15,1,FALSE,"Q1_low",0.461538461538462,0.461538461538462,0.0769230769230769,0
71,59,3,FALSE,"Q2",0.087719298245614,0.368421052631579,0.228070175438596,0.315789473684211
72,79,1,FALSE,"Q1_low",0.233766233766234,0.272727272727273,0.272727272727273,0.220779220779221
73,18,1,FALSE,"Q4_high",0,0.0625,0.3125,0.625
74,5,4,FALSE,"Q3",0.333333333333333,0,0.333333333333333,0.333333333333333
75,13,1,FALSE,"Q1_low",0.272727272727273,0.181818181818182,0.272727272727273,0.272727272727273
76,4,1,FALSE,"Q3",0,0.5,0.5,0
77,16,2,FALSE,"Q1_low",0.428571428571429,0.214285714285714,0.0714285714285714,0.285714285714286
78,168,2,FALSE,"Q2",0.228915662650602,0.289156626506024,0.271084337349398,0.210843373493976
79,7,2,FALSE,"Q1_low",0.6,0.4,0,0
80,14,2,FALSE,"Q1_low",0.833333333333333,0.166666666666667,0,0
81,15,2,FALSE,"Q1_low",0.538461538461538,0.230769230769231,0.153846153846154,0.0769230769230769
82,59,2,FALSE,"Q2",0.228070175438596,0.350877192982456,0.280701754385965,0.140350877192982
83,49,3,FALSE,"Q4_high",0.0212765957446809,0.0851063829787234,0.297872340425532,0.595744680851064
84,69,2,FALSE,"Q1_low",0.507462686567164,0.17910447761194,0.283582089552239,0.0298507462686567
85,25,3,FALSE,"Q2",0.260869565217391,0.478260869565217,0.130434782608696,0.130434782608696
86,4,3,FALSE,"Q2",0,0.5,0,0.5
87,50,4,FALSE,"Q1_low",0.104166666666667,0.270833333333333,0.354166666666667,0.270833333333333
88,23,1,FALSE,"Q4_high",0,0.0476190476190476,0.238095238095238,0.714285714285714
89,43,1,FALSE,"Q3",0.121951219512195,0.195121951219512,0.24390243902439,0.439024390243902
90,7,3,FALSE,"Q4_high",0,0,0,1
91,12,1,FALSE,"Q4_high",0,0,0.2,0.8
92,6,4,FALSE,"Q4_high",0.25,0,0.5,0.25
93,210,1,FALSE,"Q2",0.216346153846154,0.25,0.350961538461538,0.182692307692308
94,15,1,FALSE,"Q4_high",0,0.153846153846154,0.153846153846154,0.692307692307692
95,41,1,FALSE,"Q3",0.0256410256410256,0.0769230769230769,0.179487179487179,0.717948717948718
96,36,1,FALSE,"Q3",0.147058823529412,0.264705882352941,0.382352941176471,0.205882352941176
97,19,1,FALSE,"Q3",0,0.235294117647059,0.470588235294118,0.294117647058824
98,4,2,FALSE,NA,0,0,0,1
99,19,4,FALSE,"Q1_low",0.529411764705882,0.117647058823529,0.294117647058824,0.0588235294117647
100,4,3,FALSE,NA,0,0,0,1
101,27,1,FALSE,"Q1_low",0.4,0.28,0.16,0.16
102,4,1,FALSE,"Q4_high",0,0.5,0,0.5
103,37,1,FALSE,"Q2",0.0857142857142857,0.142857142857143,0.285714285714286,0.485714285714286
104,41,2,FALSE,"Q1_low",0.461538461538462,0.179487179487179,0.256410256410256,0.102564102564103
105,30,3,FALSE,"Q3",0,0.107142857142857,0.5,0.392857142857143
106,27,2,FALSE,"Q2",0.28,0.52,0.16,0.04
107,15,2,FALSE,"Q1_low",0.692307692307692,0.153846153846154,0.153846153846154,0
108,11,1,FALSE,"Q2",0.111111111111111,0.333333333333333,0,0.555555555555556
109,12,2,FALSE,"Q1_low",0.7,0.3,0,0
110,9,3,FALSE,"Q2",0,0.714285714285714,0,0.285714285714286
111,31,4,FALSE,"Q4_high",0.0689655172413793,0.275862068965517,0.413793103448276,0.241379310344828
112,6,1,FALSE,"Q4_high",0,0.25,0,0.75
113,90,3,FALSE,"Q2",0.147727272727273,0.215909090909091,0.363636363636364,0.272727272727273
114,14,2,FALSE,"Q2",0.416666666666667,0.416666666666667,0.166666666666667,0
115,4,3,FALSE,"Q3",0,0.5,0.5,0
116,29,3,FALSE,"Q1_low",0.148148148148148,0.481481481481481,0.333333333333333,0.037037037037037
117,57,2,FALSE,"Q1_low",0.490909090909091,0.2,0.2,0.109090909090909
118,39,4,FALSE,"Q2",0.216216216216216,0.27027027027027,0.378378378378378,0.135135135135135
119,29,4,FALSE,"Q4_high",0,0.111111111111111,0.407407407407407,0.481481481481481
120,5,3,FALSE,NA,0,0,0,1
121,4,4,FALSE,NA,0,0,0,1
122,24,2,FALSE,"Q2",0.409090909090909,0.181818181818182,0.181818181818182,0.227272727272727
123,4,1,FALSE,NA,0,0,0,1
124,9,1,FALSE,"Q4_high",0,0.142857142857143,0.285714285714286,0.571428571428571
125,4,1,FALSE,NA,0,0,0,1
126,4,3,FALSE,"Q4_high",0,0.5,0,0.5
127,4,1,FALSE,NA,0,0,0.5,0.5
128,21,1,FALSE,"Q4_high",0.157894736842105,0.0526315789473684,0.210526315789474,0.578947368421053
129,6,3,FALSE,"Q4_high",0,0.25,0.25,0.5
130,4,1,FALSE,NA,0,0,0,1
131,7,4,FALSE,"Q4_high",0,0,0.2,0.8
132,3,7,TRUE,NA,0,0,0,1
133,3,8,TRUE,NA,0,0,0,1
134,6,4,FALSE,"Q4_high",0,0,0.25,0.75
135,23,1,FALSE,"Q4_high",0,0.0952380952380952,0.238095238095238,0.666666666666667
136,22,4,FALSE,"Q2",0.15,0.35,0.4,0.1
137,17,4,FALSE,"Q2",0.0666666666666667,0.133333333333333,0.533333333333333,0.266666666666667
138,23,4,FALSE,"Q3",0.0952380952380952,0.0952380952380952,0.523809523809524,0.285714285714286
139,5,2,FALSE,"Q1_low",0.333333333333333,0.333333333333333,0,0.333333333333333
140,4,4,FALSE,"Q1_low",0.5,0.5,0,0
141,5,3,FALSE,NA,0,0,0,1
142,3,9,TRUE,NA,0,0,0,1
143,3,10,TRUE,NA,0,0,1,0
144,3,11,TRUE,NA,0,0,0,1
145,3,12,TRUE,NA,0,0,0,1
146,106,2,FALSE,"Q1_low",0.625,0.269230769230769,0.0480769230769231,0.0576923076923077
147,43,2,FALSE,"Q1_low",0.634146341463415,0.268292682926829,0.0975609756097561,0
148,5,2,FALSE,"Q1_low",0.666666666666667,0,0.333333333333333,0
149,20,2,FALSE,"Q1_low",0.666666666666667,0.0555555555555556,0.222222222222222,0.0555555555555556
150,17,2,FALSE,"Q1_low",0.4,0.266666666666667,0.2,0.133333333333333
151,4,1,FALSE,NA,0,0,0,1
152,45,1,FALSE,"Q3",0,0.0930232558139535,0.325581395348837,0.581395348837209
153,3,13,TRUE,NA,0,0,1,0
154,96,1,FALSE,"Q1_low",0.117021276595745,0.297872340425532,0.340425531914894,0.24468085106383
155,29,4,FALSE,"Q2",0.444444444444444,0.185185185185185,0.296296296296296,0.0740740740740741
156,84,2,FALSE,"Q2",0.426829268292683,0.268292682926829,0.24390243902439,0.0609756097560976
157,13,2,FALSE,"Q1_low",0.727272727272727,0.181818181818182,0,0.0909090909090909
158,17,2,FALSE,"Q1_low",0.533333333333333,0.2,0.0666666666666667,0.2
