"sector","r500m","r1000m","r2000m","r5000m","r500m.1","r1000m.1","r2000m.1","r5000m.1"
"CNS05",0.200625090765555,0.120851752215448,0.0624851316934971,0.0358164374265678,3,3,3,3
"CNS01",71.3520976877752,83.9766629963236,57.9539562889802,35.7305179599806,1,1,1,1
"CNS12",0.0128304467358863,0.0450462346696877,0.0399299263935502,0.0154188278452654,15,6,5,5
"CNS06",0.101116821836913,0.0428159989528325,0.0121455989171747,0.00276813963880163,8,8,12,16
"CNS07",0.0954273291053518,0.033069096701813,0.00697032655240758,0.00383428577744055,9,9,16,13
"CNS19",0.145754480483326,0.0286972734334024,0.0124767635856893,0.00741025115400448,6,11,11,9
"CNS04",0.201665522658268,0.0608794091254612,0.0331024923586243,0.00787848301759491,2,5,6,7
"CNS08",0.128314919720968,0.0928719148735559,0.0545550391182284,0.000531876505567873,7,4,4,18
"CNS09",0.00546073715451192,0.0249411122525844,0.0139875398272518,0.00719260172257141,18,13,10,10
"CNS13",0.0930199361653265,0.044491020817295,0.0149878435734635,0.00643230739013343,10,7,9,11
"CNS16",0.0790380656099316,0.0318777250087228,0.0116214941079363,0.0055632070807645,11,10,13,12
"CNS18",0.066684221272249,0.00789482783660738,0.00345622417223742,0.00196756550391403,12,17,18,17
"CNS14",0.0134275558955767,0.00709569411765433,0.00938061576909686,0.00373750831607458,14,18,15,14
"CNS03",0.179203165154332,0.139204539756216,0.604464430350748,0.111409938850908,4,2,2,2
"CNS17",0.147414140128738,0.0259782159549426,0.0103951665068458,0.0112592736462263,5,12,14,6
"CNS10",0.0114977667223758,0.0137904927793632,0.0209286654320259,0.00321513154262111,17,14,8,15
"CNS11",0.0117587607136079,0.00791506536191762,0.0253116631839833,0.00783891929171318,16,15,7,8
"CNS15",0.0164945126270829,0.00790161554590803,0.00377439812911249,0.018524368091983,13,16,17,4
