"sector","Q1_low","Q2","Q3","Q4_high","D_obs","direction"
"CNS01",1.719,1.544,2.436,23.049,83.9767,"非单调"
"CNS03",0.03,0.263,0.563,1.028,0.1392,"单调递增（密度越高，within-stratum 聚集强度越高）"
"CNS04",1.265,1.231,1.32,1.837,0.0609,"非单调"
"CNS05",0.79,0.884,0.823,1.631,0.1209,"非单调"
"CNS06",0.728,0.847,0.711,1.224,0.0428,"非单调"
"CNS07",0.891,0.956,1.131,1.36,0.0331,"单调递增（密度越高，within-stratum 聚集强度越高）"
"CNS08",0.774,0.883,1.12,1.567,0.0929,"单调递增（密度越高，within-stratum 聚集强度越高）"
"CNS09",1.235,0.956,1.169,0.844,0.0249,"非单调"
"CNS10",1.152,1.136,0.928,0.893,0.0138,"单调递减（密度越高，within-stratum 聚集强度越低）"
"CNS11",1.271,1.283,1.129,1.078,0.0079,"非单调"
"CNS12",1.389,1.173,0.896,0.874,0.045,"单调递减（密度越高，within-stratum 聚集强度越低）"
"CNS13",0.353,0.813,0.627,0.906,0.0445,"非单调"
"CNS14",1.11,0.97,0.94,1.133,0.0071,"非单调"
"CNS15",0.723,0.942,0.927,0.909,0.0079,"非单调"
"CNS16",1.039,1.424,1.514,1.318,0.0319,"非单调"
"CNS17",0.729,0.973,1.023,1.177,0.026,"单调递增（密度越高，within-stratum 聚集强度越高）"
"CNS18",1.094,1.238,1.336,1.275,0.0079,"非单调"
"CNS19",1.134,1.444,1.581,1.5,0.0287,"非单调"
