"sector","D_obs","p_raw","p_BH","sig_BH"
"CNS05",0.1209,1e-04,0.0018,TRUE
"CNS01",83.9767,4e-04,0.0024,TRUE
"CNS12",0.045,3e-04,0.0024,TRUE
"CNS06",0.0428,9e-04,0.004,TRUE
"CNS07",0.0331,0.0047,0.0169,TRUE
"CNS19",0.0287,0.0132,0.0396,TRUE
"CNS04",0.0609,0.0598,0.1538,FALSE
"CNS08",0.0929,0.0752,0.1598,FALSE
"CNS09",0.0249,0.0799,0.1598,FALSE
"CNS13",0.0445,0.1814,0.3265,FALSE
"CNS16",0.0319,0.2439,0.3658,FALSE
"CNS18",0.0079,0.2357,0.3658,FALSE
"CNS14",0.0071,0.3101,0.4294,FALSE
"CNS03",0.1392,0.344,0.4423,FALSE
"CNS17",0.026,0.5166,0.6199,FALSE
"CNS10",0.0138,0.5554,0.6248,FALSE
"CNS11",0.0079,0.6562,0.6948,FALSE
"CNS15",0.0079,0.8845,0.8845,FALSE
